golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-001-all-negative,ALL_NEGATIVE,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-002-danger-unable-to-drink-or-breastfeed,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-003-danger-vomits-everything,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-004-danger-had-convulsions,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-005-danger-lethargic-or-unconscious,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-006-danger-convulsing-now,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-007-resp-age-2-rate-49,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-008-resp-age-2-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-009-resp-age-11-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-010-resp-age-12-rate-39,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-011-resp-age-12-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-012-resp-age-59-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-013-resp-chest-hiv-negative,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-014-resp-chest-hiv-positive,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-015-resp-stridor,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-016-resp-oximeter-89-9,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P1,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,HGRR-FIND-001;HGRR-FIND-002,Sub-90 referral urgency lacks an approved source or policy disposition and the below-threshold rate is incorrectly traced as fast breathing.
hpg-017-resp-oximeter-90,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-018-resp-prolonged-cough,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-019-resp-recurrent-wheeze,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-020-resp-post-bronchodilator-improved,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-021-resp-post-bronchodilator-fast,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-022-resp-trial-outstanding,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P1,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,HGRR-FIND-003,Pneumonia is emitted internally and its rule fires before required bronchodilator reassessment.
hpg-023-resp-child-not-calm,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P1,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,HGRR-FIND-002;HGRR-FIND-003,Invalid non-calm respiratory evidence still produces an internal cough-or-cold classification and false fast-breathing trace.
hpg-024-resp-count-not-one-minute,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P1,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,HGRR-FIND-002;HGRR-FIND-003,Invalid non-one-minute respiratory evidence still produces an internal cough-or-cold classification and false fast-breathing trace.
hpg-025-resp-oximeter-missing-value,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-026-resp-chest-hiv-unknown,RESPIRATORY,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-027-diarrhoea-no-dehydration,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-028-diarrhoea-some-dehydration,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-029-diarrhoea-severe-plan-c-under-24m,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-030-diarrhoea-severe-age-24-no-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-031-diarrhoea-severe-age-24-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-032-diarrhoea-duration-13,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-033-diarrhoea-duration-14-persistent,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-034-diarrhoea-severe-persistent,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-035-diarrhoea-dysentery,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-036-diarrhoea-persistent-and-dysentery,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-037-diarrhoea-positive-drinking-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-038-diarrhoea-negative-does-not-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-039-diarrhoea-duration-unknown,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-040-diarrhoea-cholera-context-unknown,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-041-fever-high-positive,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-042-fever-high-negative,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-043-fever-high-test-unavailable,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-044-fever-low-obvious-cause,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-045-fever-low-no-cause-positive,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-046-fever-no-risk,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-047-fever-temperature-38-4,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-048-fever-temperature-38-5,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-049-fever-duration-7,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-050-fever-duration-8-not-every-day,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-051-fever-duration-8-every-day,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-052-fever-identified-bacterial-cause,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-053-fever-measles,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-054-fever-measles-eye,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-055-fever-severe-measles-cornea,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Prior urgent-action defect is remediated and all source-mandated treatment remains immediate.
hpg-056-fever-severe-stiff-neck,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
