golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-001-all-negative,ALL_NEGATIVE,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-002-danger-unable-to-drink-or-breastfeed,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-003-danger-vomits-everything,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-004-danger-had-convulsions,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-005-danger-lethargic-or-unconscious,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-006-danger-convulsing-now,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-007-resp-age-2-rate-49,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-008-resp-age-2-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-009-resp-age-11-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-010-resp-age-12-rate-39,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-011-resp-age-12-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-012-resp-age-59-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-013-resp-chest-hiv-negative,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-014-resp-chest-hiv-positive,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-015-resp-stridor,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-016-resp-oximeter-89-9,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Verified source-literal non-urgent oxygen referral, retained routine actions, exact disposition provenance, and no IP-CQ-004 activation. Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed."
hpg-017-resp-oximeter-90,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-018-resp-prolonged-cough,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-019-resp-recurrent-wheeze,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-020-resp-post-bronchodilator-improved,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-021-resp-post-bronchodilator-fast,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-022-resp-trial-outstanding,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified no premature respiratory classification from invalid evidence or outstanding bronchodilator reassessment.
hpg-023-resp-child-not-calm,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed. Verified no premature respiratory classification from invalid evidence or outstanding bronchodilator reassessment.
hpg-024-resp-count-not-one-minute,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed. Verified no premature respiratory classification from invalid evidence or outstanding bronchodilator reassessment.
hpg-025-resp-oximeter-missing-value,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-026-resp-chest-hiv-unknown,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
