golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-001-all-negative,ALL_NEGATIVE,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-002-danger-unable-to-drink-or-breastfeed,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-003-danger-vomits-everything,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-004-danger-had-convulsions,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-005-danger-lethargic-or-unconscious,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-006-danger-convulsing-now,GENERAL_DANGER_SIGNS,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-007-resp-age-2-rate-49,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-008-resp-age-2-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-009-resp-age-11-rate-50,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-010-resp-age-12-rate-39,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
